country_id,latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
USA,41.475756,-81.66334,018,031,911,4961,2023-09-29,1604,L8,H,D
USA,41.475758,-81.662981,018,031,912,4961,2023-09-29,1604,L8,H,D
USA,41.476026,-81.663343,018,031,911,4960,2023-09-29,1604,L8,M,D
USA,41.476028,-81.662984,018,031,912,4960,2023-09-29,1604,L8,L,D
USA,41.501209,-80.345866,018,031,4577,4867,2023-09-29,1604,L8,M,D
USA,41.513045,-80.336399,018,031,4603,4823,2023-09-29,1604,L8,M,D
USA,41.521972,-81.054714,018,031,2605,4797,2023-09-29,1604,L8,H,D
USA,41.52524,-80.571439,018,031,3949,4782,2023-09-29,1604,L8,L,D
USA,41.54573,-80.559075,018,031,3983,4706,2023-09-29,1604,L8,H,D
USA,41.545731,-80.559434,018,031,3982,4706,2023-09-29,1604,L8,H,D
USA,41.546002,-80.559432,018,031,3982,4705,2023-09-29,1604,L8,L,D
USA,41.554544,-80.605062,018,031,3855,4674,2023-09-29,1604,L8,H,D
USA,41.554814,-80.60506,018,031,3855,4673,2023-09-29,1604,L8,H,D
USA,41.555426,-80.164008,018,031,5081,4662,2023-09-29,1604,L8,L,D
USA,41.638879,-80.839766,018,031,3202,4364,2023-09-29,1604,L8,L,D
USA,41.645509,-81.233141,018,031,2110,4339,2023-09-29,1604,L8,M,D
USA,41.686739,-79.651162,018,031,6499,4158,2023-09-29,1604,L8,H,D
USA,41.715137,-80.630407,018,031,3782,4080,2023-09-29,1604,L8,L,D
USA,41.715407,-80.630405,018,031,3782,4079,2023-09-29,1604,L8,L,D
USA,41.725376,-80.715111,018,031,3547,4043,2023-09-29,1604,L8,L,D
USA,41.762157,-80.028881,018,031,5448,3893,2023-09-29,1604,L8,H,D
USA,41.76216,-80.029242,018,031,5447,3893,2023-09-29,1604,L8,H,D
USA,41.762427,-80.028877,018,031,5448,3892,2023-09-29,1604,L8,L,D
USA,41.76243,-80.029238,018,031,5447,3892,2023-09-29,1604,L8,L,D
USA,41.77202,-80.676283,018,031,3654,3870,2023-09-29,1604,L8,M,D
USA,41.775343,-79.720056,018,031,6303,3833,2023-09-29,1604,L8,H,D
USA,41.812156,-80.434451,018,031,4323,3718,2023-09-29,1604,L8,H,D
USA,41.812158,-80.434812,018,031,4322,3718,2023-09-29,1604,L8,H,D
USA,41.815664,-80.332923,018,031,4604,3703,2023-09-29,1604,L8,H,D
USA,41.815932,-80.332559,018,031,4605,3702,2023-09-29,1604,L8,L,D
USA,41.815934,-80.332921,018,031,4604,3702,2023-09-29,1604,L8,H,D
USA,41.950691,-79.358223,018,031,7293,3167,2023-09-29,1604,L8,H,D
USA,41.950961,-79.358216,018,031,7293,3166,2023-09-29,1604,L8,H,D
USA,42.124099,-79.738464,018,031,6233,2543,2023-09-29,1604,L8,H,D
USA,42.336941,-79.447261,018,031,7021,1742,2023-09-29,1604,L8,L,D
USA,42.337216,-79.447619,018,031,7020,1741,2023-09-29,1604,L8,L,D
USA,35.0903,-81.967332,018,035,5038,7471,2023-09-29,1605,L8,M,D
USA,35.090571,-81.967335,018,035,5038,7470,2023-09-29,1605,L8,L,D
USA,35.093201,-81.70341,018,035,5840,7467,2023-09-29,1605,L8,M,D
USA,35.093202,-81.703081,018,035,5841,7467,2023-09-29,1605,L8,M,D
USA,35.093743,-81.703085,018,035,5841,7465,2023-09-29,1605,L8,H,D
USA,35.094012,-81.703417,018,035,5840,7464,2023-09-29,1605,L8,H,D
USA,35.094555,-81.703092,018,035,5841,7462,2023-09-29,1605,L8,H,D
USA,35.094557,-81.702763,018,035,5842,7462,2023-09-29,1605,L8,H,D
USA,35.094559,-81.702434,018,035,5843,7462,2023-09-29,1605,L8,H,D
USA,35.094825,-81.703095,018,035,5841,7461,2023-09-29,1605,L8,H,D
USA,35.166035,-81.589398,018,035,6188,7200,2023-09-29,1605,L8,L,D
USA,35.166037,-81.589069,018,035,6189,7200,2023-09-29,1605,L8,H,D
USA,35.214873,-82.731157,018,035,2725,6979,2023-09-29,1605,L8,H,D
USA,35.214878,-82.730828,018,035,2726,6979,2023-09-29,1605,L8,H,D
USA,35.215144,-82.731163,018,035,2725,6978,2023-09-29,1605,L8,H,D
USA,35.258338,-81.517181,018,035,6409,6860,2023-09-29,1605,L8,H,D
USA,35.259151,-81.516856,018,035,6410,6857,2023-09-29,1605,L8,H,D
USA,35.259153,-81.516526,018,035,6411,6857,2023-09-29,1605,L8,H,D
USA,35.259695,-81.5162,018,035,6412,6855,2023-09-29,1605,L8,H,D
USA,35.259964,-81.516531,018,035,6411,6854,2023-09-29,1605,L8,H,D
USA,35.259966,-81.516202,018,035,6412,6854,2023-09-29,1605,L8,H,D
USA,35.260235,-81.516533,018,035,6411,6853,2023-09-29,1605,L8,H,D
USA,35.260236,-81.516203,018,035,6412,6853,2023-09-29,1605,L8,H,D
USA,35.260505,-81.516535,018,035,6411,6852,2023-09-29,1605,L8,H,D
USA,35.260507,-81.516205,018,035,6412,6852,2023-09-29,1605,L8,H,D
USA,35.260777,-81.516207,018,035,6412,6851,2023-09-29,1605,L8,H,D
USA,35.261046,-81.516538,018,035,6411,6850,2023-09-29,1605,L8,M,D
USA,35.261048,-81.516208,018,035,6412,6850,2023-09-29,1605,L8,H,D
USA,35.262449,-82.694905,018,035,2838,6805,2023-09-29,1605,L8,L,D
USA,35.278974,-81.616276,018,035,6109,6782,2023-09-29,1605,L8,H,D
USA,35.280137,-82.627986,018,035,3042,6743,2023-09-29,1605,L8,H,D
USA,35.282492,-81.615972,018,035,6110,6769,2023-09-29,1605,L8,H,D
USA,35.282494,-81.615642,018,035,6111,6769,2023-09-29,1605,L8,H,D
USA,35.282762,-81.615974,018,035,6110,6768,2023-09-29,1605,L8,H,D
USA,35.282786,-81.611356,018,035,6124,6768,2023-09-29,1605,L8,H,D
USA,35.283033,-81.615976,018,035,6110,6767,2023-09-29,1605,L8,H,D
USA,35.283332,-81.61037,018,035,6127,6766,2023-09-29,1605,L8,H,D
USA,35.283602,-81.610373,018,035,6127,6765,2023-09-29,1605,L8,H,D
USA,35.284135,-81.612026,018,035,6122,6763,2023-09-29,1605,L8,H,D
USA,35.284387,-81.615657,018,035,6111,6762,2023-09-29,1605,L8,H,D
USA,35.284405,-81.612028,018,035,6122,6762,2023-09-29,1605,L8,H,D
USA,35.28441,-81.611038,018,035,6125,6762,2023-09-29,1605,L8,H,D
USA,35.284656,-81.615989,018,035,6110,6761,2023-09-29,1605,L8,H,D
USA,35.284658,-81.615659,018,035,6111,6761,2023-09-29,1605,L8,H,D
USA,35.284676,-81.61203,018,035,6122,6761,2023-09-29,1605,L8,H,D
USA,35.284926,-81.615991,018,035,6110,6760,2023-09-29,1605,L8,H,D
USA,35.284928,-81.615661,018,035,6111,6760,2023-09-29,1605,L8,H,D
USA,35.284946,-81.612032,018,035,6122,6760,2023-09-29,1605,L8,H,D
USA,35.413499,-81.787797,018,035,5593,6281,2023-09-29,1605,L8,L,D
USA,35.413769,-81.787799,018,035,5593,6280,2023-09-29,1605,L8,H,D
USA,35.413771,-81.787469,018,035,5594,6280,2023-09-29,1605,L8,H,D
USA,35.459127,-82.108596,018,035,4624,6103,2023-09-29,1605,L8,H,D
USA,35.45913,-82.108266,018,035,4625,6103,2023-09-29,1605,L8,H,D
USA,35.459397,-82.1086,018,035,4624,6102,2023-09-29,1605,L8,L,D
USA,35.4594,-82.108269,018,035,4625,6102,2023-09-29,1605,L8,H,D
USA,35.462327,-82.083844,018,035,4699,6092,2023-09-29,1605,L8,H,D
USA,35.515502,-81.53636,018,035,6356,5909,2023-09-29,1605,L8,H,D
USA,35.515771,-81.536692,018,035,6355,5908,2023-09-29,1605,L8,H,D
USA,35.515773,-81.536361,018,035,6356,5908,2023-09-29,1605,L8,H,D
USA,35.51604,-81.537025,018,035,6354,5907,2023-09-29,1605,L8,H,D
USA,35.516042,-81.536694,018,035,6355,5907,2023-09-29,1605,L8,H,D
USA,35.516311,-81.537027,018,035,6354,5906,2023-09-29,1605,L8,H,D
USA,35.540014,-82.651091,018,035,2988,5781,2023-09-29,1605,L8,H,D
USA,35.540289,-82.650765,018,035,2989,5780,2023-09-29,1605,L8,H,D
USA,35.540532,-82.652756,018,035,2983,5779,2023-09-29,1605,L8,H,D
USA,35.579034,-81.904306,018,035,5246,5666,2023-09-29,1605,L8,H,D
USA,35.579036,-81.903975,018,035,5247,5666,2023-09-29,1605,L8,H,D
USA,35.579307,-81.903978,018,035,5247,5665,2023-09-29,1605,L8,M,D
USA,35.579309,-81.903647,018,035,5248,5665,2023-09-29,1605,L8,H,D
USA,35.579575,-81.904312,018,035,5246,5664,2023-09-29,1605,L8,H,D
USA,35.633221,-81.854886,018,035,5397,5467,2023-09-29,1605,L8,H,D
USA,35.633492,-81.854889,018,035,5397,5466,2023-09-29,1605,L8,H,D
USA,35.709417,-81.938277,018,035,5148,5183,2023-09-29,1605,L8,L,D
USA,35.732234,-81.729221,018,035,5779,5104,2023-09-29,1605,L8,H,D
USA,35.732236,-81.728889,018,035,5780,5104,2023-09-29,1605,L8,M,D
